流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
上饶以上,江西,丰溪河,广丰,2026-09-09 08:00:00,89.9,--,2026-09-09 09:27:56
上饶以上,江西,丰溪河,广丰,2026-09-10 08:00:00,90.0,--,2026-09-10 09:26:23
上饶以上,江西,丰溪河,广丰,2026-09-11 08:00:00,89.84,--,2026-09-11 09:26:07
上饶以上,江西,丰溪河,广丰,2026-09-12 08:00:00,89.87,--,2026-09-12 09:24:56
上饶以上,江西,丰溪河,广丰,2026-09-13 08:00:00,89.77,--,2026-09-13 09:26:03
上饶以上,江西,丰溪河,广丰,2026-09-14 08:00:00,89.79,--,2026-09-14 09:27:14
上饶以上,江西,丰溪河,广丰,2026-09-15 08:00:00,89.93,--,2026-09-15 09:29:45
上饶以上,江西,丰溪河,广丰,2026-09-16 08:00:00,89.85,--,2026-09-16 09:26:25
上饶以上,江西,丰溪河,广丰,2026-09-17 08:00:00,89.76,--,2026-09-17 09:27:07
上饶以上,江西,丰溪河,广丰,2026-09-18 08:00:00,89.58,--,2026-09-18 09:25:44
上饶以上,江西,丰溪河,广丰,2026-09-19 08:00:00,89.64,--,2026-09-19 09:26:16
上饶以上,江西,丰溪河,广丰,2026-09-22 08:00:00,89.71,--,2026-09-22 09:26:19
