流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
上饶以上,江西,信江,上饶,2026-09-09 08:00:00,64.17,--,2026-09-09 09:27:56
上饶以上,江西,信江,上饶,2026-09-10 08:00:00,64.29,--,2026-09-10 09:26:23
上饶以上,江西,信江,上饶,2026-09-11 08:00:00,64.07,--,2026-09-11 09:26:07
上饶以上,江西,信江,上饶,2026-09-12 08:00:00,64.32,--,2026-09-12 09:24:56
上饶以上,江西,信江,上饶,2026-09-13 08:00:00,64.24,--,2026-09-13 09:26:03
上饶以上,江西,信江,上饶,2026-09-14 08:00:00,64.38,--,2026-09-14 09:27:14
上饶以上,江西,信江,上饶,2026-09-15 08:00:00,64.24,--,2026-09-15 09:29:45
上饶以上,江西,信江,上饶,2026-09-16 08:00:00,64.51,--,2026-09-16 09:26:25
上饶以上,江西,信江,上饶,2026-09-17 08:00:00,64.31,--,2026-09-17 09:27:07
上饶以上,江西,信江,上饶,2026-09-18 08:00:00,64.46,--,2026-09-18 09:25:44
上饶以上,江西,信江,上饶,2026-09-19 08:00:00,64.21,--,2026-09-19 09:26:16
上饶以上,江西,信江,上饶,2026-09-22 08:00:00,64.37,--,2026-09-22 09:26:19
上饶以上,江西,信江,上饶,2026-09-23 08:00:00,64.45,--,2026-09-23 09:26:47
上饶以上,江西,信江,上饶,2026-09-24 08:00:00,64.41,--,2026-09-24 09:26:28
上饶以上,江西,信江,上饶,2026-09-25 08:00:00,64.49,--,2026-09-25 09:26:15
