流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
上饶到弋阳,江西,信江,弋阳,2026-09-09 08:00:00,37.14,--,2026-09-09 09:27:56
上饶到弋阳,江西,信江,弋阳,2026-09-10 08:00:00,37.06,--,2026-09-10 09:26:23
上饶到弋阳,江西,信江,弋阳,2026-09-11 08:00:00,37.03,--,2026-09-11 09:26:07
上饶到弋阳,江西,信江,弋阳,2026-09-12 08:00:00,37.08,--,2026-09-12 09:24:56
上饶到弋阳,江西,信江,弋阳,2026-09-13 08:00:00,36.98,--,2026-09-13 09:26:03
上饶到弋阳,江西,信江,弋阳,2026-09-14 08:00:00,37.06,--,2026-09-14 09:27:14
上饶到弋阳,江西,信江,弋阳,2026-09-15 08:00:00,36.95,--,2026-09-15 09:29:45
上饶到弋阳,江西,信江,弋阳,2026-09-16 08:00:00,37.02,--,2026-09-16 09:26:25
上饶到弋阳,江西,信江,弋阳,2026-09-17 08:00:00,36.91,--,2026-09-17 09:27:07
上饶到弋阳,江西,信江,弋阳,2026-09-18 08:00:00,37.0,--,2026-09-18 09:25:44
上饶到弋阳,江西,信江,弋阳,2026-09-19 08:00:00,36.92,--,2026-09-19 09:26:16
