流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
内陆,青海,格尔木河,格尔木（四）,2026-09-09 08:00:00,2936.75,--,2026-09-09 09:27:56
内陆,青海,格尔木河,格尔木（四）,2026-09-10 08:00:00,2936.63,--,2026-09-10 09:26:23
内陆,青海,格尔木河,格尔木（四）,2026-09-11 08:00:00,2936.64,--,2026-09-11 09:26:07
内陆,青海,格尔木河,格尔木（四）,2026-09-12 08:00:00,2936.58,--,2026-09-12 09:24:56
内陆,青海,格尔木河,格尔木（四）,2026-09-13 08:00:00,2936.54,--,2026-09-13 09:26:03
内陆,青海,格尔木河,格尔木（四）,2026-09-14 08:00:00,2936.52,--,2026-09-14 09:27:14
内陆,青海,格尔木河,格尔木（四）,2026-09-15 08:00:00,2936.49,--,2026-09-15 09:29:45
内陆,青海,格尔木河,格尔木（四）,2026-09-16 08:00:00,2936.56,--,2026-09-16 09:26:25
内陆,青海,格尔木河,格尔木（四）,2026-09-17 08:00:00,2936.53,--,2026-09-17 09:27:07
内陆,青海,格尔木河,格尔木（四）,2026-09-18 08:00:00,2936.53,--,2026-09-18 09:25:44
内陆,青海,格尔木河,格尔木（四）,2026-09-19 08:00:00,2936.49,--,2026-09-19 09:26:16
内陆,青海,格尔木河,格尔木（四）,2026-09-22 08:00:00,2934.23,--,2026-09-22 09:26:19
内陆,青海,格尔木河,格尔木（四）,2026-09-23 08:00:00,2934.28,--,2026-09-23 09:26:47
内陆,青海,格尔木河,格尔木（四）,2026-09-24 08:00:00,2934.23,--,2026-09-24 09:26:28
内陆,青海,格尔木河,格尔木（四）,2026-09-25 08:00:00,2934.26,--,2026-09-25 09:26:15
内陆,青海,格尔木河,格尔木（四）,2026-09-26 08:00:00,2934.25,--,2026-09-26 09:25:48
