流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
内陆河,甘肃,黑河,札马什克,2026-09-09 08:00:00,2675.03,--,2026-09-09 09:27:56
内陆河,甘肃,黑河,札马什克,2026-09-10 08:00:00,2675.08,--,2026-09-10 09:26:23
内陆河,甘肃,黑河,札马什克,2026-09-11 08:00:00,2675.18,--,2026-09-11 09:26:07
内陆河,甘肃,黑河,札马什克,2026-09-12 08:00:00,2675.12,--,2026-09-12 09:24:56
内陆河,甘肃,黑河,札马什克,2026-09-13 08:00:00,2675.04,--,2026-09-13 09:26:03
内陆河,甘肃,黑河,札马什克,2026-09-14 08:00:00,2674.95,--,2026-09-14 09:27:14
内陆河,甘肃,黑河,札马什克,2026-09-15 08:00:00,2674.91,--,2026-09-15 09:29:45
内陆河,甘肃,黑河,札马什克,2026-09-16 08:00:00,2674.87,--,2026-09-16 09:26:25
内陆河,甘肃,黑河,札马什克,2026-09-17 08:00:00,2674.85,--,2026-09-17 09:27:07
内陆河,甘肃,黑河,札马什克,2026-09-18 08:00:00,2674.82,--,2026-09-18 09:25:44
内陆河,甘肃,黑河,札马什克,2026-09-19 08:00:00,2674.84,--,2026-09-19 09:26:16
内陆河,甘肃,黑河,札马什克,2026-09-22 08:00:00,2674.8,--,2026-09-22 09:26:19
内陆河,甘肃,黑河,札马什克,2026-09-23 08:00:00,2674.78,--,2026-09-23 09:26:47
内陆河,甘肃,黑河,札马什克,2026-09-24 08:00:00,2674.87,--,2026-09-24 09:26:28
内陆河,甘肃,黑河,札马什克,2026-09-25 08:00:00,2674.83,--,2026-09-25 09:26:15
