流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
南渡江,海南,南渡江,定安（三）,2026-09-09 08:00:00,8.5,--,2026-09-09 09:27:56
南渡江,海南,南渡江,定安（三）,2026-09-10 08:00:00,8.6,--,2026-09-11 09:26:07
南渡江,海南,南渡江,定安（三）,2026-09-12 08:00:00,8.79,--,2026-09-12 09:24:56
南渡江,海南,南渡江,定安（三）,2026-09-13 08:00:00,8.8,--,2026-09-14 09:27:14
南渡江,海南,南渡江,定安（三）,2026-09-14 08:00:00,9.6,--,2026-09-15 09:29:45
南渡江,海南,南渡江,定安（三）,2026-09-15 08:00:00,11.7,--,2026-09-16 09:26:25
南渡江,海南,南渡江,定安（三）,2026-09-17 08:00:00,9.92,--,2026-09-17 09:27:07
南渡江,海南,南渡江,定安（三）,2026-09-18 08:00:00,9.67,--,2026-09-18 09:25:44
南渡江,海南,南渡江,定安（三）,2026-09-19 08:00:00,9.38,--,2026-09-19 09:26:16
南渡江,海南,南渡江,定安（三）,2026-09-22 08:00:00,8.92,--,2026-09-22 09:26:19
南渡江,海南,南渡江,定安（三）,2026-09-23 08:00:00,8.6,--,2026-09-23 09:26:47
