流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
和田河流域,新疆,皮山河,皮山,2026-09-09 08:00:00,2325.97,--,2026-09-09 09:27:56
和田河流域,新疆,皮山河,皮山,2026-09-10 08:00:00,2325.87,--,2026-09-10 09:26:23
和田河流域,新疆,皮山河,皮山,2026-09-11 08:00:00,2325.9,--,2026-09-11 09:26:07
和田河流域,新疆,皮山河,皮山,2026-09-12 08:00:00,2325.89,--,2026-09-12 09:24:56
和田河流域,新疆,皮山河,皮山,2026-09-13 08:00:00,2325.96,--,2026-09-13 09:26:03
和田河流域,新疆,皮山河,皮山,2026-09-14 08:00:00,2325.83,--,2026-09-14 09:27:14
和田河流域,新疆,皮山河,皮山,2026-09-15 08:00:00,2325.81,--,2026-09-15 09:29:45
和田河流域,新疆,皮山河,皮山,2026-09-16 08:00:00,2325.84,--,2026-09-16 09:26:25
和田河流域,新疆,皮山河,皮山,2026-09-17 08:00:00,2325.96,--,2026-09-17 09:27:07
和田河流域,新疆,皮山河,皮山,2026-09-18 08:00:00,2325.99,--,2026-09-18 09:25:44
和田河流域,新疆,皮山河,皮山,2026-09-19 08:00:00,2325.9,--,2026-09-19 09:26:16
和田河流域,新疆,皮山河,皮山,2026-09-22 08:00:00,2326.1,--,2026-09-22 09:26:19
和田河流域,新疆,皮山河,皮山,2026-09-23 08:00:00,2325.89,--,2026-09-23 09:26:47
和田河流域,新疆,皮山河,皮山,2026-09-24 08:00:00,2325.93,--,2026-09-24 09:26:28
和田河流域,新疆,皮山河,皮山,2026-09-25 08:00:00,2325.94,--,2026-09-25 09:26:15
和田河流域,新疆,皮山河,皮山,2026-09-26 08:00:00,2325.9,--,2026-09-26 09:25:48
