流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-09 08:00:00,1423.24,--,2026-09-09 09:27:56
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-10 08:00:00,1423.24,--,2026-09-10 09:26:23
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-11 08:00:00,1423.25,--,2026-09-11 09:26:07
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-12 08:00:00,1423.25,--,2026-09-12 09:24:56
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-13 08:00:00,1423.24,--,2026-09-13 09:26:03
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-14 08:00:00,1423.24,--,2026-09-14 09:27:14
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-15 08:00:00,1423.26,--,2026-09-15 09:29:45
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-16 08:00:00,1423.26,--,2026-09-16 09:26:25
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-17 08:00:00,1423.26,--,2026-09-17 09:27:07
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-18 08:00:00,1423.28,--,2026-09-18 09:25:44
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-19 08:00:00,1423.27,--,2026-09-19 09:26:16
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-22 08:00:00,1423.27,--,2026-09-22 09:26:19
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-23 08:00:00,1423.28,--,2026-09-23 09:26:47
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-24 08:00:00,1423.26,--,2026-09-24 09:26:28
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-25 08:00:00,1423.26,--,2026-09-25 09:26:15
哈密、吐鲁番地区诸河,新疆,头道沟,头道沟,2026-09-26 08:00:00,1423.26,--,2026-09-26 09:25:48
