流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-09 08:00:00,235.64,--,2026-09-09 09:27:56
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-10 08:00:00,235.57,--,2026-09-10 09:26:23
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-11 08:00:00,235.54,--,2026-09-11 09:26:07
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-12 08:00:00,235.68,--,2026-09-12 09:24:56
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-13 08:00:00,235.7,--,2026-09-13 09:26:03
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-14 08:00:00,235.64,--,2026-09-14 09:27:14
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-15 08:00:00,235.57,--,2026-09-15 09:29:45
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-16 08:00:00,235.63,--,2026-09-16 09:26:25
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-17 08:00:00,235.75,--,2026-09-17 09:27:07
嘉陵江,重庆,涪江,梓潼·盐关垭口,2026-09-18 08:00:00,235.79,--,2026-09-18 09:25:44
