流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
塔里木河,新疆,开都河,大山口,2026-09-09 08:00:00,1351.89,--,2026-09-09 09:27:56
塔里木河,新疆,开都河,大山口,2026-09-10 08:00:00,1351.89,--,2026-09-10 09:26:23
塔里木河,新疆,开都河,大山口,2026-09-11 08:00:00,1351.88,--,2026-09-11 09:26:07
塔里木河,新疆,开都河,大山口,2026-09-12 08:00:00,1351.93,--,2026-09-12 09:24:56
塔里木河,新疆,开都河,大山口,2026-09-13 08:00:00,1351.92,--,2026-09-13 09:26:03
塔里木河,新疆,开都河,大山口,2026-09-14 08:00:00,1352.49,--,2026-09-14 09:27:14
塔里木河,新疆,开都河,大山口,2026-09-15 08:00:00,1352.07,--,2026-09-15 09:29:45
塔里木河,新疆,开都河,大山口,2026-09-16 08:00:00,1351.82,--,2026-09-16 09:26:25
塔里木河,新疆,开都河,大山口,2026-09-17 08:00:00,1351.53,--,2026-09-17 09:27:07
塔里木河,新疆,开都河,大山口,2026-09-18 08:00:00,1351.87,--,2026-09-18 09:25:44
塔里木河,新疆,开都河,大山口,2026-09-19 08:00:00,1351.85,--,2026-09-19 09:26:16
塔里木河,新疆,开都河,大山口,2026-09-22 08:00:00,1351.58,--,2026-09-22 09:26:19
塔里木河,新疆,开都河,大山口,2026-09-23 08:00:00,1351.68,--,2026-09-23 09:26:47
塔里木河,新疆,开都河,大山口,2026-09-24 08:00:00,1351.94,--,2026-09-24 09:26:28
塔里木河,新疆,开都河,大山口,2026-09-25 08:00:00,1351.68,--,2026-09-25 09:26:15
