流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
太湖,江苏,阳澄湖,湘城,2026-09-09 08:00:00,3.29,--,2026-09-09 09:27:56
太湖,江苏,阳澄湖,湘城,2026-09-10 08:00:00,3.3,--,2026-09-10 09:26:23
太湖,江苏,阳澄湖,湘城,2026-09-11 08:00:00,3.3,--,2026-09-11 09:26:07
太湖,江苏,阳澄湖,湘城,2026-09-12 08:00:00,3.3,--,2026-09-12 09:24:56
太湖,江苏,阳澄湖,湘城,2026-09-13 08:00:00,3.32,--,2026-09-13 09:26:03
太湖,江苏,阳澄湖,湘城,2026-09-14 08:00:00,3.3,--,2026-09-14 09:27:14
太湖,江苏,阳澄湖,湘城,2026-09-15 08:00:00,3.31,--,2026-09-15 09:29:45
太湖,江苏,阳澄湖,湘城,2026-09-16 08:00:00,3.32,--,2026-09-16 09:26:25
太湖,江苏,阳澄湖,湘城,2026-09-17 08:00:00,3.32,--,2026-09-17 09:27:07
太湖,江苏,阳澄湖,湘城,2026-09-18 08:00:00,3.32,--,2026-09-18 09:25:44
