流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
婺源以上,江西,段莘水,汪口,2026-09-09 08:00:00,68.06,--,2026-09-09 09:27:56
婺源以上,江西,段莘水,汪口,2026-09-10 08:00:00,68.02,--,2026-09-10 09:26:23
婺源以上,江西,段莘水,汪口,2026-09-11 08:00:00,67.98,--,2026-09-11 09:26:07
婺源以上,江西,段莘水,汪口,2026-09-12 08:00:00,68.02,--,2026-09-12 09:24:56
婺源以上,江西,段莘水,汪口,2026-09-13 08:00:00,68.01,--,2026-09-13 09:26:03
婺源以上,江西,段莘水,汪口,2026-09-14 08:00:00,67.95,--,2026-09-14 09:27:14
婺源以上,江西,段莘水,汪口,2026-09-15 08:00:00,68.14,--,2026-09-15 09:29:45
婺源以上,江西,段莘水,汪口,2026-09-16 08:00:00,68.07,--,2026-09-16 09:26:25
婺源以上,江西,段莘水,汪口,2026-09-17 08:00:00,67.92,--,2026-09-17 09:27:07
婺源以上,江西,段莘水,汪口,2026-09-18 08:00:00,68.04,--,2026-09-18 09:25:44
婺源以上,江西,段莘水,汪口,2026-09-19 08:00:00,68.1,--,2026-09-19 09:26:16
婺源以上,江西,段莘水,汪口,2026-09-22 08:00:00,67.97,--,2026-09-22 09:26:19
婺源以上,江西,段莘水,汪口,2026-09-23 08:00:00,67.97,--,2026-09-23 09:26:47
婺源以上,江西,段莘水,汪口,2026-09-24 08:00:00,68.01,--,2026-09-24 09:26:28
婺源以上,江西,段莘水,汪口,2026-09-25 08:00:00,68.08,--,2026-09-25 09:26:15
