流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-09 08:00:00,181.56,--,2026-09-09 09:27:56
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-10 08:00:00,181.36,--,2026-09-10 09:26:23
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-11 08:00:00,181.3,--,2026-09-11 09:26:07
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-12 08:00:00,181.19,--,2026-09-12 09:24:56
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-13 08:00:00,181.14,--,2026-09-13 09:26:03
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-14 08:00:00,181.25,--,2026-09-14 09:27:14
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-15 08:00:00,181.41,--,2026-09-15 09:29:45
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-16 08:00:00,181.39,--,2026-09-16 09:26:25
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-17 08:00:00,181.4,--,2026-09-17 09:27:07
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-18 08:00:00,181.38,--,2026-09-18 09:25:44
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-19 08:00:00,181.3,--,2026-09-19 09:26:16
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-22 08:00:00,181.5,--,2026-09-22 09:26:19
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-23 08:00:00,181.4,--,2026-09-23 09:26:47
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-24 08:00:00,181.36,--,2026-09-24 09:26:28
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-25 08:00:00,181.28,--,2026-09-25 09:26:15
嫩江,黑龙江,乌裕尔河,依安大桥,2026-09-26 08:00:00,181.22,--,2026-09-26 09:25:48
