流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
嫩江,黑龙江,嫩江,江桥,2026-09-09 08:00:00,137.19,--,2026-09-09 09:27:56
嫩江,黑龙江,嫩江,江桥,2026-09-10 08:00:00,137.21,--,2026-09-10 09:26:23
嫩江,黑龙江,嫩江,江桥,2026-09-11 08:00:00,137.19,--,2026-09-11 09:26:07
嫩江,黑龙江,嫩江,江桥,2026-09-12 08:00:00,137.15,--,2026-09-12 09:24:56
嫩江,黑龙江,嫩江,江桥,2026-09-13 08:00:00,137.11,--,2026-09-13 09:26:03
嫩江,黑龙江,嫩江,江桥,2026-09-14 08:00:00,137.06,--,2026-09-14 09:27:14
嫩江,黑龙江,嫩江,江桥,2026-09-15 08:00:00,137.02,--,2026-09-15 09:29:45
嫩江,黑龙江,嫩江,江桥,2026-09-16 08:00:00,136.98,--,2026-09-16 09:26:25
嫩江,黑龙江,嫩江,江桥,2026-09-17 08:00:00,136.94,--,2026-09-17 09:27:07
嫩江,黑龙江,嫩江,江桥,2026-09-18 08:00:00,136.9,--,2026-09-18 09:25:44
嫩江,黑龙江,嫩江,江桥,2026-09-19 08:00:00,136.85,--,2026-09-19 09:26:16
嫩江,黑龙江,嫩江,江桥,2026-09-22 08:00:00,136.71,--,2026-09-22 09:26:19
嫩江,黑龙江,嫩江,江桥,2026-09-23 08:00:00,136.66,--,2026-09-23 09:26:47
嫩江,黑龙江,嫩江,江桥,2026-09-24 08:00:00,136.63,--,2026-09-24 09:26:28
