流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-09 08:00:00,144.31,--,2026-09-09 09:27:56
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-10 08:00:00,144.27,--,2026-09-10 09:26:23
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-11 08:00:00,144.25,--,2026-09-11 09:26:07
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-12 08:00:00,144.22,--,2026-09-12 09:24:56
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-13 08:00:00,144.19,--,2026-09-13 09:26:03
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-14 08:00:00,144.16,--,2026-09-14 09:27:14
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-15 08:00:00,144.14,--,2026-09-15 09:29:45
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-16 08:00:00,144.11,--,2026-09-16 09:26:25
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-17 08:00:00,144.08,--,2026-09-17 09:27:07
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-18 08:00:00,144.05,--,2026-09-18 09:25:44
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-19 08:00:00,144.03,--,2026-09-19 09:26:16
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-22 08:00:00,143.96,--,2026-09-22 09:26:19
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-23 08:00:00,143.94,--,2026-09-23 09:26:47
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-24 08:00:00,143.59,--,2026-09-24 09:26:28
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-25 08:00:00,143.29,--,2026-09-25 09:26:15
嫩江,黑龙江,嫩江,齐齐哈尔,2026-09-26 08:00:00,143.18,--,2026-09-26 09:25:48
