流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
弋阳到梅港,江西,信江,贵溪,2026-09-09 08:00:00,30.06,--,2026-09-09 09:27:56
弋阳到梅港,江西,信江,贵溪,2026-09-10 08:00:00,29.97,--,2026-09-10 09:26:23
弋阳到梅港,江西,信江,贵溪,2026-09-11 08:00:00,29.85,--,2026-09-11 09:26:07
弋阳到梅港,江西,信江,贵溪,2026-09-12 08:00:00,29.94,--,2026-09-12 09:24:56
弋阳到梅港,江西,信江,贵溪,2026-09-13 08:00:00,29.9,--,2026-09-13 09:26:03
弋阳到梅港,江西,信江,贵溪,2026-09-15 08:00:00,29.89,--,2026-09-15 09:29:45
弋阳到梅港,江西,信江,贵溪,2026-09-16 08:00:00,29.82,--,2026-09-16 09:26:25
弋阳到梅港,江西,信江,贵溪,2026-09-17 08:00:00,29.79,--,2026-09-17 09:27:07
弋阳到梅港,江西,信江,贵溪,2026-09-18 08:00:00,29.67,--,2026-09-18 09:25:44
弋阳到梅港,江西,信江,贵溪,2026-09-22 08:00:00,29.59,--,2026-09-22 09:26:19
弋阳到梅港,江西,信江,贵溪,2026-09-23 08:00:00,29.56,--,2026-09-23 09:26:47
弋阳到梅港,江西,信江,贵溪,2026-09-24 08:00:00,29.64,--,2026-09-24 09:26:28
弋阳到梅港,江西,信江,贵溪,2026-09-25 08:00:00,29.69,--,2026-09-25 09:26:15
弋阳到梅港,江西,信江,贵溪,2026-09-26 08:00:00,29.75,--,2026-09-26 09:25:48
