流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
弋阳到梅港,江西,信江,鹰潭,2026-09-09 08:00:00,26.5,--,2026-09-09 09:27:56
弋阳到梅港,江西,信江,鹰潭,2026-09-10 08:00:00,26.45,--,2026-09-10 09:26:23
弋阳到梅港,江西,信江,鹰潭,2026-09-11 08:00:00,26.38,--,2026-09-11 09:26:07
弋阳到梅港,江西,信江,鹰潭,2026-09-12 08:00:00,26.33,--,2026-09-12 09:24:56
弋阳到梅港,江西,信江,鹰潭,2026-09-13 08:00:00,26.35,--,2026-09-13 09:26:03
弋阳到梅港,江西,信江,鹰潭,2026-09-14 08:00:00,26.31,--,2026-09-14 09:27:14
弋阳到梅港,江西,信江,鹰潭,2026-09-15 08:00:00,26.29,--,2026-09-15 09:29:45
弋阳到梅港,江西,信江,鹰潭,2026-09-16 08:00:00,26.23,--,2026-09-16 09:26:25
弋阳到梅港,江西,信江,鹰潭,2026-09-17 08:00:00,26.18,--,2026-09-17 09:27:07
弋阳到梅港,江西,信江,鹰潭,2026-09-18 08:00:00,26.19,--,2026-09-18 09:25:44
弋阳到梅港,江西,信江,鹰潭,2026-09-19 08:00:00,26.15,--,2026-09-19 09:26:16
弋阳到梅港,江西,信江,鹰潭,2026-09-22 08:00:00,26.13,--,2026-09-22 09:26:19
弋阳到梅港,江西,信江,鹰潭,2026-09-23 08:00:00,26.17,--,2026-09-23 09:26:47
