流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
昌化江,海南,昌化江,宝桥,2026-09-09 08:00:00,16.66,--,2026-09-09 09:27:56
昌化江,海南,昌化江,宝桥,2026-09-10 08:00:00,16.63,--,2026-09-10 09:26:23
昌化江,海南,昌化江,宝桥,2026-09-11 08:00:00,16.34,--,2026-09-11 09:26:07
昌化江,海南,昌化江,宝桥,2026-09-12 08:00:00,16.39,--,2026-09-12 09:24:56
昌化江,海南,昌化江,宝桥,2026-09-13 08:00:00,17.9,--,2026-09-13 09:26:03
昌化江,海南,昌化江,宝桥,2026-09-14 08:00:00,19.76,--,2026-09-14 09:27:14
昌化江,海南,昌化江,宝桥,2026-09-15 08:00:00,21.03,--,2026-09-15 09:29:45
昌化江,海南,昌化江,宝桥,2026-09-16 08:00:00,18.04,--,2026-09-16 09:26:25
昌化江,海南,昌化江,宝桥,2026-09-17 08:00:00,17.45,--,2026-09-17 09:27:07
昌化江,海南,昌化江,宝桥,2026-09-18 08:00:00,17.33,--,2026-09-18 09:25:44
昌化江,海南,昌化江,宝桥,2026-09-19 08:00:00,16.78,--,2026-09-19 09:26:16
昌化江,海南,昌化江,宝桥,2026-09-22 08:00:00,16.57,--,2026-09-22 09:26:19
昌化江,海南,昌化江,宝桥,2026-09-23 08:00:00,16.57,--,2026-09-23 09:26:47
昌化江,海南,昌化江,宝桥,2026-09-24 08:00:00,16.59,--,2026-09-24 09:26:28
