流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
晋江,福建,晋江东溪,永春,2026-09-09 08:00:00,115.03,--,2026-09-09 09:27:56
晋江,福建,晋江东溪,永春,2026-09-10 08:00:00,114.95,--,2026-09-10 09:26:23
晋江,福建,晋江东溪,永春,2026-09-11 08:00:00,114.99,--,2026-09-11 09:26:07
晋江,福建,晋江东溪,永春,2026-09-12 08:00:00,115.09,--,2026-09-12 09:24:56
晋江,福建,晋江东溪,永春,2026-09-13 08:00:00,115.01,--,2026-09-13 09:26:03
晋江,福建,晋江东溪,永春,2026-09-15 08:00:00,114.92,--,2026-09-15 09:29:45
晋江,福建,晋江东溪,永春,2026-09-16 08:00:00,114.96,--,2026-09-16 09:26:25
晋江,福建,晋江东溪,永春,2026-09-17 08:00:00,114.96,--,2026-09-17 09:27:07
晋江,福建,晋江东溪,永春,2026-09-18 08:00:00,114.95,--,2026-09-18 09:25:44
晋江,福建,晋江东溪,永春,2026-09-19 08:00:00,114.95,--,2026-09-19 09:26:16
晋江,福建,晋江东溪,永春,2026-09-22 08:00:00,114.96,--,2026-09-22 09:26:19
晋江,福建,晋江东溪,永春,2026-09-23 08:00:00,114.93,--,2026-09-23 09:26:47
