流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
松花江吉林段,吉林,珠子河,靖宇,2026-09-09 08:00:00,541.01,--,2026-09-09 09:27:56
松花江吉林段,吉林,珠子河,靖宇,2026-09-10 08:00:00,541.0,--,2026-09-10 09:26:23
松花江吉林段,吉林,珠子河,靖宇,2026-09-11 08:00:00,541.0,--,2026-09-11 09:26:07
松花江吉林段,吉林,珠子河,靖宇,2026-09-12 08:00:00,540.99,--,2026-09-12 09:24:56
松花江吉林段,吉林,珠子河,靖宇,2026-09-13 08:00:00,540.99,--,2026-09-13 09:26:03
松花江吉林段,吉林,珠子河,靖宇,2026-09-14 08:00:00,540.99,--,2026-09-14 09:27:14
松花江吉林段,吉林,珠子河,靖宇,2026-09-15 08:00:00,540.99,--,2026-09-15 09:29:45
松花江吉林段,吉林,珠子河,靖宇,2026-09-16 08:00:00,540.98,--,2026-09-16 09:26:25
松花江吉林段,吉林,珠子河,靖宇,2026-09-17 08:00:00,540.98,--,2026-09-17 09:27:07
松花江吉林段,吉林,珠子河,靖宇,2026-09-18 08:00:00,540.97,--,2026-09-18 09:25:44
