流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
浙闽台河流,浙江,兰江,兰溪,2026-09-09 08:00:00,23.17,--,2026-09-09 09:27:56
浙闽台河流,浙江,兰江,兰溪,2026-09-10 08:00:00,23.33,--,2026-09-10 09:26:23
浙闽台河流,浙江,兰江,兰溪,2026-09-11 08:00:00,23.24,--,2026-09-11 09:26:07
浙闽台河流,浙江,兰江,兰溪,2026-09-12 08:00:00,23.23,--,2026-09-12 09:24:56
浙闽台河流,浙江,兰江,兰溪,2026-09-13 08:00:00,23.38,--,2026-09-13 09:26:03
浙闽台河流,浙江,兰江,兰溪,2026-09-14 08:00:00,23.48,--,2026-09-14 09:27:14
浙闽台河流,浙江,兰江,兰溪,2026-09-15 08:00:00,23.36,--,2026-09-15 09:29:45
浙闽台河流,浙江,兰江,兰溪,2026-09-16 08:00:00,23.3,--,2026-09-16 09:26:25
浙闽台河流,浙江,兰江,兰溪,2026-09-17 08:00:00,23.28,--,2026-09-17 09:27:07
浙闽台河流,浙江,兰江,兰溪,2026-09-18 08:00:00,23.3,--,2026-09-18 09:25:44
浙闽台河流,浙江,兰江,兰溪,2026-09-19 08:00:00,23.38,--,2026-09-19 09:26:16
浙闽台河流,浙江,兰江,兰溪,2026-09-22 08:00:00,23.4,--,2026-09-22 09:26:19
浙闽台河流,浙江,兰江,兰溪,2026-09-23 08:00:00,23.26,--,2026-09-23 09:26:47
