流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
海河,山西,浊漳河,石梁,2026-09-09 08:00:00,689.2,--,2026-09-09 09:27:56
海河,山西,浊漳河,石梁,2026-09-10 08:00:00,689.16,--,2026-09-10 09:26:23
海河,山西,浊漳河,石梁,2026-09-11 08:00:00,689.1,--,2026-09-11 09:26:07
海河,山西,浊漳河,石梁,2026-09-12 08:00:00,689.01,--,2026-09-12 09:24:56
海河,山西,浊漳河,石梁,2026-09-13 08:00:00,689.0,--,2026-09-13 09:26:03
海河,山西,浊漳河,石梁,2026-09-14 08:00:00,688.98,--,2026-09-14 09:27:14
海河,山西,浊漳河,石梁,2026-09-15 08:00:00,688.97,--,2026-09-15 09:29:45
海河,山西,浊漳河,石梁,2026-09-16 08:00:00,688.94,--,2026-09-16 09:26:25
海河,山西,浊漳河,石梁,2026-09-17 08:00:00,688.95,--,2026-09-17 09:27:07
海河,山西,浊漳河,石梁,2026-09-18 08:00:00,688.93,--,2026-09-18 09:25:44
