流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
海河,河北,拒马河,紫荆关（河道）,2026-09-09 08:00:00,513.77,--,2026-09-09 09:27:56
海河,河北,拒马河,紫荆关（河道）,2026-09-10 08:00:00,513.71,--,2026-09-10 09:26:23
海河,河北,拒马河,紫荆关（河道）,2026-09-11 08:00:00,513.83,--,2026-09-11 09:26:07
海河,河北,拒马河,紫荆关（河道）,2026-09-12 08:00:00,513.83,--,2026-09-12 09:24:56
海河,河北,拒马河,紫荆关（河道）,2026-09-13 08:00:00,513.68,--,2026-09-13 09:26:03
海河,河北,拒马河,紫荆关（河道）,2026-09-14 08:00:00,513.75,--,2026-09-14 09:27:14
海河,河北,拒马河,紫荆关（河道）,2026-09-15 08:00:00,513.67,--,2026-09-15 09:29:45
海河,河北,拒马河,紫荆关（河道）,2026-09-16 08:00:00,513.67,--,2026-09-16 09:26:25
海河,河北,拒马河,紫荆关（河道）,2026-09-17 08:00:00,513.69,--,2026-09-17 09:27:07
海河,河北,拒马河,紫荆关（河道）,2026-09-18 08:00:00,513.67,--,2026-09-18 09:25:44
海河,河北,拒马河,紫荆关（河道）,2026-09-19 08:00:00,513.66,--,2026-09-19 09:26:16
