流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
海河,河南,卫河,五陵,2026-09-09 08:00:00,49.14,--,2026-09-09 09:27:56
海河,河南,卫河,五陵,2026-09-10 08:00:00,49.74,--,2026-09-10 09:26:23
海河,河南,卫河,五陵,2026-09-11 08:00:00,48.9,--,2026-09-11 09:26:07
海河,河南,卫河,五陵,2026-09-12 08:00:00,49.07,--,2026-09-12 09:24:56
海河,河南,卫河,五陵,2026-09-13 08:00:00,49.11,--,2026-09-13 09:26:03
海河,河南,卫河,五陵,2026-09-14 08:00:00,49.19,--,2026-09-14 09:27:14
海河,河南,卫河,五陵,2026-09-15 08:00:00,49.5,--,2026-09-15 09:29:45
海河,河南,卫河,五陵,2026-09-16 08:00:00,49.35,--,2026-09-16 09:26:25
海河,河南,卫河,五陵,2026-09-17 08:00:00,49.21,--,2026-09-17 09:27:07
海河,河南,卫河,五陵,2026-09-18 08:00:00,49.07,--,2026-09-18 09:25:44
