流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
淮河,安徽,淮河,正阳关,2026-09-09 08:00:00,18.34,--,2026-09-09 09:27:56
淮河,安徽,淮河,正阳关,2026-09-10 08:00:00,18.34,--,2026-09-10 09:26:23
淮河,安徽,淮河,正阳关,2026-09-11 08:00:00,18.34,--,2026-09-11 09:26:07
淮河,安徽,淮河,正阳关,2026-09-12 08:00:00,18.32,--,2026-09-12 09:24:56
淮河,安徽,淮河,正阳关,2026-09-13 08:00:00,18.2,--,2026-09-13 09:26:03
淮河,安徽,淮河,正阳关,2026-09-14 08:00:00,18.12,--,2026-09-14 09:27:14
淮河,安徽,淮河,正阳关,2026-09-15 08:00:00,18.08,--,2026-09-15 09:29:45
淮河,安徽,淮河,正阳关,2026-09-16 08:00:00,18.18,--,2026-09-16 09:26:25
淮河,安徽,淮河,正阳关,2026-09-17 08:00:00,18.34,--,2026-09-17 09:27:07
淮河,安徽,淮河,正阳关,2026-09-18 08:00:00,18.35,--,2026-09-18 09:25:44
淮河,安徽,淮河,正阳关,2026-09-19 08:00:00,18.31,--,2026-09-19 09:26:16
淮河,安徽,淮河,正阳关,2026-09-22 08:00:00,18.33,--,2026-09-22 09:26:19
淮河,安徽,淮河,正阳关,2026-09-23 08:00:00,18.41,--,2026-09-23 09:26:47
