流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
淮河,江苏,里运河,高邮(大),2026-09-09 08:00:00,6.16,--,2026-09-09 09:27:56
淮河,江苏,里运河,高邮(大),2026-09-10 08:00:00,6.08,--,2026-09-10 09:26:23
淮河,江苏,里运河,高邮(大),2026-09-11 08:00:00,6.17,--,2026-09-11 09:26:07
淮河,江苏,里运河,高邮(大),2026-09-12 08:00:00,6.7,--,2026-09-12 09:24:56
淮河,江苏,里运河,高邮(大),2026-09-13 08:00:00,6.89,--,2026-09-13 09:26:03
淮河,江苏,里运河,高邮(大),2026-09-14 08:00:00,7.03,--,2026-09-14 09:27:14
淮河,江苏,里运河,高邮(大),2026-09-15 08:00:00,6.96,--,2026-09-15 09:29:45
淮河,江苏,里运河,高邮(大),2026-09-16 08:00:00,6.9,--,2026-09-16 09:26:25
淮河,江苏,里运河,高邮(大),2026-09-17 08:00:00,6.83,--,2026-09-17 09:27:07
淮河,江苏,里运河,高邮(大),2026-09-18 08:00:00,6.7,--,2026-09-18 09:25:44
淮河,江苏,里运河,高邮(大),2026-09-19 08:00:00,7.11,--,2026-09-19 09:26:16
淮河,江苏,里运河,高邮(大),2026-09-22 08:00:00,7.4,--,2026-09-22 09:26:19
淮河,江苏,里运河,高邮(大),2026-09-23 08:00:00,7.36,--,2026-09-23 09:26:47
淮河,江苏,里运河,高邮(大),2026-09-24 08:00:00,7.26,--,2026-09-24 09:26:28
淮河,江苏,里运河,高邮(大),2026-09-25 08:00:00,7.31,--,2026-09-25 09:26:15
淮河,江苏,里运河,高邮(大),2026-09-26 08:00:00,7.62,--,2026-09-26 09:25:48
