流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
淮河,河南,沙颍河,周口,2026-09-09 08:00:00,43.4,--,2026-09-09 09:27:56
淮河,河南,沙颍河,周口,2026-09-10 08:00:00,43.2,--,2026-09-10 09:26:23
淮河,河南,沙颍河,周口,2026-09-11 08:00:00,43.18,--,2026-09-11 09:26:07
淮河,河南,沙颍河,周口,2026-09-12 08:00:00,43.1,--,2026-09-12 09:24:56
淮河,河南,沙颍河,周口,2026-09-13 08:00:00,43.07,--,2026-09-13 09:26:03
淮河,河南,沙颍河,周口,2026-09-14 08:00:00,43.16,--,2026-09-14 09:27:14
淮河,河南,沙颍河,周口,2026-09-15 08:00:00,43.11,--,2026-09-15 09:29:45
淮河,河南,沙颍河,周口,2026-09-16 08:00:00,43.27,--,2026-09-16 09:26:25
淮河,河南,沙颍河,周口,2026-09-17 08:00:00,43.34,--,2026-09-17 09:27:07
淮河,河南,沙颍河,周口,2026-09-18 08:00:00,43.29,--,2026-09-18 09:25:44
淮河,河南,沙颍河,周口,2026-09-19 08:00:00,43.15,--,2026-09-19 09:26:16
淮河,河南,沙颍河,周口,2026-09-22 08:00:00,43.33,--,2026-09-22 09:26:19
淮河,河南,沙颍河,周口,2026-09-23 08:00:00,42.96,--,2026-09-23 09:26:47
淮河,河南,沙颍河,周口,2026-09-24 08:00:00,42.99,--,2026-09-24 09:26:28
淮河,河南,沙颍河,周口,2026-09-25 08:00:00,43.67,--,2026-09-25 09:26:15
