流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
淮诃,山东,小清河,黄台桥,2026-09-09 08:00:00,24.08,--,2026-09-09 09:27:56
淮诃,山东,小清河,黄台桥,2026-09-10 08:00:00,24.06,--,2026-09-10 09:26:23
淮诃,山东,小清河,黄台桥,2026-09-11 08:00:00,24.08,--,2026-09-11 09:26:07
淮诃,山东,小清河,黄台桥,2026-09-12 08:00:00,24.08,--,2026-09-12 09:24:56
淮诃,山东,小清河,黄台桥,2026-09-13 08:00:00,24.08,--,2026-09-13 09:26:03
淮诃,山东,小清河,黄台桥,2026-09-14 08:00:00,24.08,--,2026-09-14 09:27:14
淮诃,山东,小清河,黄台桥,2026-09-15 08:00:00,24.09,--,2026-09-15 09:29:45
淮诃,山东,小清河,黄台桥,2026-09-16 08:00:00,24.07,--,2026-09-16 09:26:25
淮诃,山东,小清河,黄台桥,2026-09-17 08:00:00,24.06,--,2026-09-17 09:27:07
淮诃,山东,小清河,黄台桥,2026-09-18 08:00:00,24.08,--,2026-09-18 09:25:44
