流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
渤海岸,辽宁,女儿河,边沿子,2026-09-09 08:00:00,45.9,--,2026-09-09 09:27:56
渤海岸,辽宁,女儿河,边沿子,2026-09-10 08:00:00,45.9,--,2026-09-10 09:26:23
渤海岸,辽宁,女儿河,边沿子,2026-09-11 08:00:00,45.9,--,2026-09-11 09:26:07
渤海岸,辽宁,女儿河,边沿子,2026-09-12 08:00:00,45.89,--,2026-09-12 09:24:56
渤海岸,辽宁,女儿河,边沿子,2026-09-13 08:00:00,45.89,--,2026-09-13 09:26:03
渤海岸,辽宁,女儿河,边沿子,2026-09-14 08:00:00,45.89,--,2026-09-14 09:27:14
渤海岸,辽宁,女儿河,边沿子,2026-09-15 08:00:00,45.89,--,2026-09-15 09:29:45
渤海岸,辽宁,女儿河,边沿子,2026-09-16 08:00:00,45.89,--,2026-09-16 09:26:25
渤海岸,辽宁,女儿河,边沿子,2026-09-17 08:00:00,45.88,--,2026-09-17 09:27:07
渤海岸,辽宁,女儿河,边沿子,2026-09-18 08:00:00,45.88,--,2026-09-18 09:25:44
渤海岸,辽宁,女儿河,边沿子,2026-09-19 08:00:00,45.88,--,2026-09-19 09:26:16
