流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
渤海岸,辽宁,小凌河,锦州,2026-09-09 08:00:00,17.65,--,2026-09-09 09:27:56
渤海岸,辽宁,小凌河,锦州,2026-09-10 08:00:00,17.65,--,2026-09-10 09:26:23
渤海岸,辽宁,小凌河,锦州,2026-09-11 08:00:00,17.62,--,2026-09-11 09:26:07
渤海岸,辽宁,小凌河,锦州,2026-09-12 08:00:00,17.62,--,2026-09-12 09:24:56
渤海岸,辽宁,小凌河,锦州,2026-09-13 08:00:00,17.62,--,2026-09-13 09:26:03
渤海岸,辽宁,小凌河,锦州,2026-09-14 08:00:00,17.6,--,2026-09-14 09:27:14
渤海岸,辽宁,小凌河,锦州,2026-09-15 08:00:00,17.6,--,2026-09-15 09:29:45
渤海岸,辽宁,小凌河,锦州,2026-09-16 08:00:00,17.63,--,2026-09-16 09:26:25
渤海岸,辽宁,小凌河,锦州,2026-09-17 08:00:00,17.62,--,2026-09-17 09:27:07
渤海岸,辽宁,小凌河,锦州,2026-09-18 08:00:00,17.61,--,2026-09-18 09:25:44
渤海岸,辽宁,小凌河,锦州,2026-09-19 08:00:00,17.56,--,2026-09-19 09:26:16
渤海岸,辽宁,小凌河,锦州,2026-09-22 08:00:00,17.55,--,2026-09-22 09:26:19
渤海岸,辽宁,小凌河,锦州,2026-09-23 08:00:00,17.58,--,2026-09-23 09:26:47
渤海岸,辽宁,小凌河,锦州,2026-09-24 08:00:00,17.55,--,2026-09-24 09:26:28
渤海岸,辽宁,小凌河,锦州,2026-09-25 08:00:00,17.53,--,2026-09-25 09:26:15
渤海岸,辽宁,小凌河,锦州,2026-09-26 08:00:00,17.53,--,2026-09-26 09:25:48
