流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
珠江,广东,武江,犁市(二),2026-09-09 08:00:00,60.1,--,2026-09-09 09:27:56
珠江,广东,武江,犁市(二),2026-09-10 08:00:00,60.31,--,2026-09-10 09:26:23
珠江,广东,武江,犁市(二),2026-09-11 08:00:00,60.18,--,2026-09-11 09:26:07
珠江,广东,武江,犁市(二),2026-09-12 08:00:00,60.3,--,2026-09-12 09:24:56
珠江,广东,武江,犁市(二),2026-09-13 08:00:00,60.24,--,2026-09-13 09:26:03
珠江,广东,武江,犁市(二),2026-09-14 08:00:00,60.27,--,2026-09-14 09:27:14
珠江,广东,武江,犁市(二),2026-09-15 08:00:00,60.3,--,2026-09-15 09:29:45
珠江,广东,武江,犁市(二),2026-09-16 08:00:00,60.31,--,2026-09-16 09:26:25
珠江,广东,武江,犁市(二),2026-09-17 08:00:00,60.24,--,2026-09-17 09:27:07
珠江,广东,武江,犁市(二),2026-09-18 08:00:00,60.31,--,2026-09-18 09:25:44
珠江,广东,武江,犁市(二),2026-09-19 08:00:00,60.31,--,2026-09-19 09:26:16
珠江,广东,武江,犁市(二),2026-09-22 08:00:00,60.25,--,2026-09-22 09:26:19
