流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
珠江,广西,红水河,迁江,2026-09-09 08:00:00,61.41,--,2026-09-09 09:27:56
珠江,广西,红水河,迁江,2026-09-10 08:00:00,60.56,--,2026-09-10 09:26:23
珠江,广西,红水河,迁江,2026-09-11 08:00:00,61.97,--,2026-09-11 09:26:07
珠江,广西,红水河,迁江,2026-09-12 08:00:00,60.79,--,2026-09-12 09:24:56
珠江,广西,红水河,迁江,2026-09-13 08:00:00,60.55,--,2026-09-13 09:26:03
珠江,广西,红水河,迁江,2026-09-14 08:00:00,62.24,--,2026-09-14 09:27:14
珠江,广西,红水河,迁江,2026-09-15 08:00:00,60.23,--,2026-09-15 09:29:45
珠江,广西,红水河,迁江,2026-09-16 08:00:00,60.34,--,2026-09-16 09:26:25
珠江,广西,红水河,迁江,2026-09-17 08:00:00,60.44,--,2026-09-17 09:27:07
珠江,广西,红水河,迁江,2026-09-18 08:00:00,63.26,--,2026-09-18 09:25:44
珠江,广西,红水河,迁江,2026-09-19 08:00:00,61.93,--,2026-09-19 09:26:16
珠江,广西,红水河,迁江,2026-09-22 08:00:00,61.02,--,2026-09-22 09:26:19
珠江,广西,红水河,迁江,2026-09-23 08:00:00,61.23,--,2026-09-23 09:26:47
珠江,广西,红水河,迁江,2026-09-24 08:00:00,60.85,--,2026-09-24 09:26:28
