流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
白塔河,江西,白塔河,耙石,2026-09-09 08:00:00,28.8,--,2026-09-09 09:27:56
白塔河,江西,白塔河,耙石,2026-09-10 08:00:00,28.73,--,2026-09-10 09:26:23
白塔河,江西,白塔河,耙石,2026-09-11 08:00:00,28.72,--,2026-09-11 09:26:07
白塔河,江西,白塔河,耙石,2026-09-12 08:00:00,28.75,--,2026-09-12 09:24:56
白塔河,江西,白塔河,耙石,2026-09-13 08:00:00,28.71,--,2026-09-13 09:26:03
白塔河,江西,白塔河,耙石,2026-09-14 08:00:00,28.68,--,2026-09-14 09:27:14
白塔河,江西,白塔河,耙石,2026-09-15 08:00:00,28.71,--,2026-09-15 09:29:45
白塔河,江西,白塔河,耙石,2026-09-16 08:00:00,28.67,--,2026-09-16 09:26:25
白塔河,江西,白塔河,耙石,2026-09-17 08:00:00,28.49,--,2026-09-17 09:27:07
白塔河,江西,白塔河,耙石,2026-09-18 08:00:00,28.29,--,2026-09-18 09:25:44
白塔河,江西,白塔河,耙石,2026-09-19 08:00:00,28.31,--,2026-09-19 09:26:16
白塔河,江西,白塔河,耙石,2026-09-22 08:00:00,28.27,--,2026-09-22 09:26:19
白塔河,江西,白塔河,耙石,2026-09-23 08:00:00,28.38,--,2026-09-23 09:26:47
白塔河,江西,白塔河,耙石,2026-09-24 08:00:00,28.45,--,2026-09-24 09:26:28
白塔河,江西,白塔河,耙石,2026-09-25 08:00:00,28.33,--,2026-09-25 09:26:15
白塔河,江西,白塔河,耙石,2026-09-26 08:00:00,28.62,--,2026-09-26 09:25:48
