流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
西江,广东,西江,高要,2026-09-09 08:00:00,0.82,--,2026-09-09 09:27:56
西江,广东,西江,高要,2026-09-10 08:00:00,0.84,--,2026-09-10 09:26:23
西江,广东,西江,高要,2026-09-11 08:00:00,0.87,--,2026-09-11 09:26:07
西江,广东,西江,高要,2026-09-12 08:00:00,1.01,--,2026-09-12 09:24:56
西江,广东,西江,高要,2026-09-13 08:00:00,1.11,--,2026-09-13 09:26:03
西江,广东,西江,高要,2026-09-14 08:00:00,1.04,--,2026-09-14 09:27:14
西江,广东,西江,高要,2026-09-15 08:00:00,1.1,--,2026-09-15 09:29:45
西江,广东,西江,高要,2026-09-16 08:00:00,1.25,--,2026-09-16 09:26:25
西江,广东,西江,高要,2026-09-17 08:00:00,1.3,--,2026-09-17 09:27:07
西江,广东,西江,高要,2026-09-18 08:00:00,1.2,--,2026-09-18 09:25:44
西江,广东,西江,高要,2026-09-19 08:00:00,1.13,--,2026-09-19 09:26:16
西江,广东,西江,高要,2026-09-22 08:00:00,0.71,--,2026-09-22 09:26:19
西江,广东,西江,高要,2026-09-23 08:00:00,0.52,--,2026-09-23 09:26:47
西江,广东,西江,高要,2026-09-24 08:00:00,0.46,--,2026-09-24 09:26:28
