流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
辽河,辽宁,大辽河,三岔河,2026-09-09 08:00:00,0.48,--,2026-09-09 09:27:56
辽河,辽宁,大辽河,三岔河,2026-09-10 08:00:00,1.25,--,2026-09-10 09:26:23
辽河,辽宁,大辽河,三岔河,2026-09-11 08:00:00,1.47,--,2026-09-11 09:26:07
辽河,辽宁,大辽河,三岔河,2026-09-12 08:00:00,1.2,--,2026-09-12 09:24:56
辽河,辽宁,大辽河,三岔河,2026-09-13 08:00:00,1.24,--,2026-09-13 09:26:03
辽河,辽宁,大辽河,三岔河,2026-09-14 08:00:00,0.76,--,2026-09-14 09:27:14
辽河,辽宁,大辽河,三岔河,2026-09-15 08:00:00,0.47,--,2026-09-15 09:29:45
辽河,辽宁,大辽河,三岔河,2026-09-16 08:00:00,0.57,--,2026-09-16 09:26:25
辽河,辽宁,大辽河,三岔河,2026-09-17 08:00:00,0.63,--,2026-09-17 09:27:07
辽河,辽宁,大辽河,三岔河,2026-09-18 08:00:00,0.6,--,2026-09-18 09:25:44
辽河,辽宁,大辽河,三岔河,2026-09-19 08:00:00,0.52,--,2026-09-19 09:26:16
辽河,辽宁,大辽河,三岔河,2026-09-22 08:00:00,0.51,--,2026-09-22 09:26:19
辽河,辽宁,大辽河,三岔河,2026-09-23 08:00:00,0.98,--,2026-09-23 09:26:47
辽河,辽宁,大辽河,三岔河,2026-09-24 08:00:00,1.01,--,2026-09-24 09:26:28
辽河,辽宁,大辽河,三岔河,2026-09-25 08:00:00,0.9,--,2026-09-25 09:26:15
辽河,辽宁,大辽河,三岔河,2026-09-26 08:00:00,1.4,--,2026-09-26 09:25:48
