流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
辽河流域,内蒙古,百岔河,万合永,2026-09-09 08:00:00,847.05,--,2026-09-09 09:27:56
辽河流域,内蒙古,百岔河,万合永,2026-09-10 08:00:00,847.05,--,2026-09-10 09:26:23
辽河流域,内蒙古,百岔河,万合永,2026-09-11 08:00:00,847.05,--,2026-09-11 09:26:07
辽河流域,内蒙古,百岔河,万合永,2026-09-12 08:00:00,847.05,--,2026-09-12 09:24:56
辽河流域,内蒙古,百岔河,万合永,2026-09-13 08:00:00,847.05,--,2026-09-13 09:26:03
辽河流域,内蒙古,百岔河,万合永,2026-09-14 08:00:00,847.05,--,2026-09-14 09:27:14
辽河流域,内蒙古,百岔河,万合永,2026-09-15 08:00:00,847.05,--,2026-09-15 09:29:45
辽河流域,内蒙古,百岔河,万合永,2026-09-16 08:00:00,847.05,--,2026-09-16 09:26:25
辽河流域,内蒙古,百岔河,万合永,2026-09-17 08:00:00,847.05,--,2026-09-17 09:27:07
辽河流域,内蒙古,百岔河,万合永,2026-09-18 08:00:00,847.05,--,2026-09-18 09:25:44
辽河流域,内蒙古,百岔河,万合永,2026-09-22 08:00:00,846.96,--,2026-09-22 09:26:19
