流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
鉴江,广东,鉴江,高州(四),2026-09-09 08:00:00,27.93,--,2026-09-09 09:27:56
鉴江,广东,鉴江,高州(四),2026-09-10 08:00:00,28.33,--,2026-09-10 09:26:23
鉴江,广东,鉴江,高州(四),2026-09-11 08:00:00,27.85,--,2026-09-11 09:26:07
鉴江,广东,鉴江,高州(四),2026-09-12 08:00:00,28.04,--,2026-09-12 09:24:56
鉴江,广东,鉴江,高州(四),2026-09-13 08:00:00,27.77,--,2026-09-13 09:26:03
鉴江,广东,鉴江,高州(四),2026-09-14 08:00:00,28.04,--,2026-09-14 09:27:14
鉴江,广东,鉴江,高州(四),2026-09-15 08:00:00,28.44,--,2026-09-15 09:29:45
鉴江,广东,鉴江,高州(四),2026-09-16 08:00:00,28.42,--,2026-09-16 09:26:25
鉴江,广东,鉴江,高州(四),2026-09-17 08:00:00,28.53,--,2026-09-17 09:27:07
鉴江,广东,鉴江,高州(四),2026-09-18 08:00:00,28.74,--,2026-09-18 09:25:44
鉴江,广东,鉴江,高州(四),2026-09-19 08:00:00,27.9,--,2026-09-19 09:26:16
鉴江,广东,鉴江,高州(四),2026-09-22 08:00:00,28.02,--,2026-09-22 09:26:19
鉴江,广东,鉴江,高州(四),2026-09-23 08:00:00,28.35,--,2026-09-23 09:26:47
鉴江,广东,鉴江,高州(四),2026-09-24 08:00:00,27.89,--,2026-09-24 09:26:28
鉴江,广东,鉴江,高州(四),2026-09-25 08:00:00,27.91,--,2026-09-25 09:26:15
