流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
钱塘江,安徽,练江,渔梁,2026-09-09 08:00:00,110.52,--,2026-09-09 09:27:56
钱塘江,安徽,练江,渔梁,2026-09-10 08:00:00,110.5,--,2026-09-10 09:26:23
钱塘江,安徽,练江,渔梁,2026-09-11 08:00:00,110.45,--,2026-09-11 09:26:07
钱塘江,安徽,练江,渔梁,2026-09-12 08:00:00,110.4,--,2026-09-12 09:24:56
钱塘江,安徽,练江,渔梁,2026-09-13 08:00:00,110.4,--,2026-09-13 09:26:03
钱塘江,安徽,练江,渔梁,2026-09-14 08:00:00,110.45,--,2026-09-14 09:27:14
钱塘江,安徽,练江,渔梁,2026-09-15 08:00:00,110.38,--,2026-09-15 09:29:45
钱塘江,安徽,练江,渔梁,2026-09-16 08:00:00,110.35,--,2026-09-16 09:26:25
钱塘江,安徽,练江,渔梁,2026-09-17 08:00:00,110.37,--,2026-09-17 09:27:07
钱塘江,安徽,练江,渔梁,2026-09-18 08:00:00,110.3,--,2026-09-18 09:25:44
钱塘江,安徽,练江,渔梁,2026-09-19 08:00:00,110.26,--,2026-09-19 09:26:16
钱塘江,安徽,练江,渔梁,2026-09-22 08:00:00,110.39,--,2026-09-22 09:26:19
钱塘江,安徽,练江,渔梁,2026-09-23 08:00:00,110.33,--,2026-09-23 09:26:47
钱塘江,安徽,练江,渔梁,2026-09-24 08:00:00,110.37,--,2026-09-24 09:26:28
钱塘江,安徽,练江,渔梁,2026-09-25 08:00:00,110.4,--,2026-09-25 09:26:15
钱塘江,安徽,练江,渔梁,2026-09-26 08:00:00,110.4,--,2026-09-26 09:25:48
