流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江,重庆,大宁河,大昌(二),2026-09-09 08:00:00,153.43,--,2026-09-09 09:27:56
长江,重庆,大宁河,大昌(二),2026-09-10 08:00:00,153.49,--,2026-09-10 09:26:23
长江,重庆,大宁河,大昌(二),2026-09-11 08:00:00,153.62,--,2026-09-11 09:26:07
长江,重庆,大宁河,大昌(二),2026-09-12 08:00:00,153.84,--,2026-09-12 09:24:56
长江,重庆,大宁河,大昌(二),2026-09-13 08:00:00,154.36,--,2026-09-13 09:26:03
长江,重庆,大宁河,大昌(二),2026-09-14 08:00:00,154.66,--,2026-09-14 09:27:14
长江,重庆,大宁河,大昌(二),2026-09-15 08:00:00,154.76,--,2026-09-15 09:29:45
长江,重庆,大宁河,大昌(二),2026-09-16 08:00:00,154.91,--,2026-09-16 09:26:25
长江,重庆,大宁河,大昌(二),2026-09-17 08:00:00,155.15,--,2026-09-17 09:27:07
长江,重庆,大宁河,大昌(二),2026-09-18 08:00:00,155.5,--,2026-09-18 09:25:44
