流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江流域,江西,宜黄水,桃陂,2026-09-09 08:00:00,66.43,--,2026-09-09 09:27:56
长江流域,江西,宜黄水,桃陂,2026-09-10 08:00:00,66.45,--,2026-09-10 09:26:23
长江流域,江西,宜黄水,桃陂,2026-09-11 08:00:00,66.48,--,2026-09-11 09:26:07
长江流域,江西,宜黄水,桃陂,2026-09-12 08:00:00,66.44,--,2026-09-12 09:24:56
长江流域,江西,宜黄水,桃陂,2026-09-13 08:00:00,66.4,--,2026-09-13 09:26:03
长江流域,江西,宜黄水,桃陂,2026-09-14 08:00:00,66.22,--,2026-09-14 09:27:14
长江流域,江西,宜黄水,桃陂,2026-09-15 08:00:00,66.18,--,2026-09-15 09:29:45
长江流域,江西,宜黄水,桃陂,2026-09-16 08:00:00,66.37,--,2026-09-16 09:26:25
长江流域,江西,宜黄水,桃陂,2026-09-17 08:00:00,66.38,--,2026-09-17 09:27:07
长江流域,江西,宜黄水,桃陂,2026-09-18 08:00:00,66.27,--,2026-09-18 09:25:44
