流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江流域,江西,潦水,万家埠,2026-09-09 08:00:00,19.92,--,2026-09-09 09:27:56
长江流域,江西,潦水,万家埠,2026-09-10 08:00:00,19.9,--,2026-09-10 09:26:23
长江流域,江西,潦水,万家埠,2026-09-11 08:00:00,19.87,--,2026-09-11 09:26:07
长江流域,江西,潦水,万家埠,2026-09-12 08:00:00,19.85,--,2026-09-12 09:24:56
长江流域,江西,潦水,万家埠,2026-09-13 08:00:00,19.86,--,2026-09-13 09:26:03
长江流域,江西,潦水,万家埠,2026-09-14 08:00:00,19.79,--,2026-09-14 09:27:14
长江流域,江西,潦水,万家埠,2026-09-15 08:00:00,19.8,--,2026-09-15 09:29:45
长江流域,江西,潦水,万家埠,2026-09-16 08:00:00,19.74,--,2026-09-16 09:26:25
长江流域,江西,潦水,万家埠,2026-09-17 08:00:00,19.82,--,2026-09-17 09:27:07
长江流域,江西,潦水,万家埠,2026-09-18 08:00:00,19.83,--,2026-09-18 09:25:44
长江流域,江西,潦水,万家埠,2026-09-19 08:00:00,19.8,--,2026-09-19 09:26:16
长江流域,江西,潦水,万家埠,2026-09-22 08:00:00,19.77,--,2026-09-22 09:26:19
长江流域,江西,潦水,万家埠,2026-09-23 08:00:00,19.79,--,2026-09-23 09:26:47
