流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江流域太湖区,浙江,下塘河,临平(下),2026-09-09 08:00:00,1.8,--,2026-09-09 09:27:56
长江流域太湖区,浙江,下塘河,临平(下),2026-09-10 08:00:00,1.77,--,2026-09-10 09:26:23
长江流域太湖区,浙江,下塘河,临平(下),2026-09-11 08:00:00,1.73,--,2026-09-11 09:26:07
长江流域太湖区,浙江,下塘河,临平(下),2026-09-12 08:00:00,1.71,--,2026-09-12 09:24:56
长江流域太湖区,浙江,下塘河,临平(下),2026-09-13 08:00:00,1.68,--,2026-09-13 09:26:03
长江流域太湖区,浙江,下塘河,临平(下),2026-09-14 08:00:00,1.66,--,2026-09-14 09:27:14
长江流域太湖区,浙江,下塘河,临平(下),2026-09-15 08:00:00,1.64,--,2026-09-15 09:29:45
长江流域太湖区,浙江,下塘河,临平(下),2026-09-16 08:00:00,1.62,--,2026-09-16 09:26:25
长江流域太湖区,浙江,下塘河,临平(下),2026-09-17 08:00:00,1.6,--,2026-09-17 09:27:07
长江流域太湖区,浙江,下塘河,临平(下),2026-09-18 08:00:00,1.59,--,2026-09-18 09:25:44
长江流域太湖区,浙江,下塘河,临平(下),2026-09-19 08:00:00,1.6,--,2026-09-19 09:26:16
