流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
闽东南诸河,福建,船场溪,船场,2026-09-09 08:00:00,72.65,--,2026-09-09 09:27:56
闽东南诸河,福建,船场溪,船场,2026-09-10 08:00:00,72.65,--,2026-09-10 09:26:23
闽东南诸河,福建,船场溪,船场,2026-09-11 08:00:00,72.4,--,2026-09-11 09:26:07
闽东南诸河,福建,船场溪,船场,2026-09-12 08:00:00,72.56,--,2026-09-12 09:24:56
闽东南诸河,福建,船场溪,船场,2026-09-13 08:00:00,72.63,--,2026-09-13 09:26:03
闽东南诸河,福建,船场溪,船场,2026-09-15 08:00:00,72.25,--,2026-09-15 09:29:45
闽东南诸河,福建,船场溪,船场,2026-09-16 08:00:00,72.5,--,2026-09-16 09:26:25
闽东南诸河,福建,船场溪,船场,2026-09-17 08:00:00,72.36,--,2026-09-17 09:27:07
闽东南诸河,福建,船场溪,船场,2026-09-18 08:00:00,71.92,--,2026-09-18 09:25:44
闽东南诸河,福建,船场溪,船场,2026-09-19 08:00:00,71.82,--,2026-09-19 09:26:16
闽东南诸河,福建,船场溪,船场,2026-09-22 08:00:00,72.12,--,2026-09-22 09:26:19
闽东南诸河,福建,船场溪,船场,2026-09-23 08:00:00,71.86,--,2026-09-23 09:26:47
闽东南诸河,福建,船场溪,船场,2026-09-24 08:00:00,71.93,--,2026-09-24 09:26:28
