流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
闽东诸河,福建,霍童溪,洋中坂,2026-09-09 08:00:00,17.21,--,2026-09-09 09:27:56
闽东诸河,福建,霍童溪,洋中坂,2026-09-10 08:00:00,17.17,--,2026-09-10 09:26:23
闽东诸河,福建,霍童溪,洋中坂,2026-09-11 08:00:00,17.18,--,2026-09-11 09:26:07
闽东诸河,福建,霍童溪,洋中坂,2026-09-12 08:00:00,17.3,--,2026-09-12 09:24:56
闽东诸河,福建,霍童溪,洋中坂,2026-09-13 08:00:00,17.15,--,2026-09-13 09:26:03
闽东诸河,福建,霍童溪,洋中坂,2026-09-15 08:00:00,17.18,--,2026-09-15 09:29:45
闽东诸河,福建,霍童溪,洋中坂,2026-09-16 08:00:00,16.76,--,2026-09-16 09:26:25
闽东诸河,福建,霍童溪,洋中坂,2026-09-17 08:00:00,16.63,--,2026-09-17 09:27:07
闽东诸河,福建,霍童溪,洋中坂,2026-09-18 08:00:00,17.15,--,2026-09-18 09:25:44
闽东诸河,福建,霍童溪,洋中坂,2026-09-19 08:00:00,17.2,--,2026-09-19 09:26:16
