流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-09 08:00:00,5.94,--,2026-09-09 09:27:56
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-10 08:00:00,5.89,--,2026-09-10 09:26:23
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-11 08:00:00,5.82,--,2026-09-11 09:26:07
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-12 08:00:00,5.74,--,2026-09-12 09:24:56
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-13 08:00:00,5.73,--,2026-09-13 09:26:03
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-15 08:00:00,5.65,--,2026-09-15 09:29:45
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-16 08:00:00,5.64,--,2026-09-16 09:26:25
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-17 08:00:00,5.62,--,2026-09-17 09:27:07
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-18 08:00:00,5.55,--,2026-09-18 09:25:44
闽南沿海诸河,福建,木兰溪,濑溪,2026-09-19 08:00:00,5.3,--,2026-09-19 09:26:16
