流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
闽江,福建,建溪,武夷山,2026-09-09 08:00:00,200.31,--,2026-09-09 09:27:56
闽江,福建,建溪,武夷山,2026-09-10 08:00:00,200.31,--,2026-09-10 09:26:23
闽江,福建,建溪,武夷山,2026-09-11 08:00:00,200.28,--,2026-09-11 09:26:07
闽江,福建,建溪,武夷山,2026-09-12 08:00:00,200.24,--,2026-09-12 09:24:56
闽江,福建,建溪,武夷山,2026-09-13 08:00:00,200.3,--,2026-09-13 09:26:03
闽江,福建,建溪,武夷山,2026-09-15 08:00:00,200.29,--,2026-09-15 09:29:45
闽江,福建,建溪,武夷山,2026-09-16 08:00:00,200.2,--,2026-09-16 09:26:25
闽江,福建,建溪,武夷山,2026-09-17 08:00:00,200.2,--,2026-09-17 09:27:07
闽江,福建,建溪,武夷山,2026-09-18 08:00:00,200.17,--,2026-09-18 09:25:44
闽江,福建,建溪,武夷山,2026-09-19 08:00:00,200.28,--,2026-09-19 09:26:16
闽江,福建,建溪,武夷山,2026-09-22 08:00:00,200.29,--,2026-09-22 09:26:19
闽江,福建,建溪,武夷山,2026-09-23 08:00:00,200.3,--,2026-09-23 09:26:47
