流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
韩江,广东,梅江,梅县(四),2026-09-09 08:00:00,74.3,--,2026-09-09 09:27:56
韩江,广东,梅江,梅县(四),2026-09-10 08:00:00,73.81,--,2026-09-10 09:26:23
韩江,广东,梅江,梅县(四),2026-09-11 08:00:00,74.32,--,2026-09-11 09:26:07
韩江,广东,梅江,梅县(四),2026-09-12 08:00:00,74.28,--,2026-09-12 09:24:56
韩江,广东,梅江,梅县(四),2026-09-13 08:00:00,74.34,--,2026-09-13 09:26:03
韩江,广东,梅江,梅县(四),2026-09-14 08:00:00,74.43,--,2026-09-14 09:27:14
韩江,广东,梅江,梅县(四),2026-09-15 08:00:00,74.33,--,2026-09-15 09:29:45
韩江,广东,梅江,梅县(四),2026-09-16 08:00:00,74.04,--,2026-09-16 09:26:25
韩江,广东,梅江,梅县(四),2026-09-17 08:00:00,74.18,--,2026-09-17 09:27:07
韩江,广东,梅江,梅县(四),2026-09-18 08:00:00,74.08,--,2026-09-18 09:25:44
韩江,广东,梅江,梅县(四),2026-09-19 08:00:00,74.29,--,2026-09-19 09:26:16
韩江,广东,梅江,梅县(四),2026-09-22 08:00:00,74.24,--,2026-09-22 09:26:19
