流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
韩江,广东,梅江,横山(二),2026-09-09 08:00:00,46.22,--,2026-09-09 09:27:56
韩江,广东,梅江,横山(二),2026-09-10 08:00:00,45.7,--,2026-09-10 09:26:23
韩江,广东,梅江,横山(二),2026-09-11 08:00:00,45.71,--,2026-09-11 09:26:07
韩江,广东,梅江,横山(二),2026-09-12 08:00:00,45.44,--,2026-09-12 09:24:56
韩江,广东,梅江,横山(二),2026-09-13 08:00:00,45.25,--,2026-09-13 09:26:03
韩江,广东,梅江,横山(二),2026-09-14 08:00:00,45.13,--,2026-09-14 09:27:14
韩江,广东,梅江,横山(二),2026-09-15 08:00:00,45.48,--,2026-09-15 09:29:45
韩江,广东,梅江,横山(二),2026-09-16 08:00:00,45.43,--,2026-09-16 09:26:25
韩江,广东,梅江,横山(二),2026-09-17 08:00:00,45.27,--,2026-09-17 09:27:07
韩江,广东,梅江,横山(二),2026-09-18 08:00:00,45.07,--,2026-09-18 09:25:44
韩江,广东,梅江,横山(二),2026-09-19 08:00:00,45.2,--,2026-09-19 09:26:16
