流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
香屯以上,江西,乐安河,香屯,2026-09-09 08:00:00,30.34,--,2026-09-09 09:27:56
香屯以上,江西,乐安河,香屯,2026-09-10 08:00:00,30.29,--,2026-09-10 09:26:23
香屯以上,江西,乐安河,香屯,2026-09-11 08:00:00,30.4,--,2026-09-11 09:26:07
香屯以上,江西,乐安河,香屯,2026-09-12 08:00:00,30.36,--,2026-09-12 09:24:56
香屯以上,江西,乐安河,香屯,2026-09-13 08:00:00,30.33,--,2026-09-13 09:26:03
香屯以上,江西,乐安河,香屯,2026-09-14 08:00:00,30.41,--,2026-09-14 09:27:14
香屯以上,江西,乐安河,香屯,2026-09-15 08:00:00,30.22,--,2026-09-15 09:29:45
香屯以上,江西,乐安河,香屯,2026-09-16 08:00:00,30.23,--,2026-09-16 09:26:25
香屯以上,江西,乐安河,香屯,2026-09-17 08:00:00,30.21,--,2026-09-17 09:27:07
香屯以上,江西,乐安河,香屯,2026-09-18 08:00:00,30.26,--,2026-09-18 09:25:44
香屯以上,江西,乐安河,香屯,2026-09-19 08:00:00,30.4,--,2026-09-19 09:26:16
香屯以上,江西,乐安河,香屯,2026-09-22 08:00:00,30.22,--,2026-09-22 09:26:19
香屯以上,江西,乐安河,香屯,2026-09-23 08:00:00,30.25,--,2026-09-23 09:26:47
香屯以上,江西,乐安河,香屯,2026-09-24 08:00:00,30.22,--,2026-09-24 09:26:28
香屯以上,江西,乐安河,香屯,2026-09-25 08:00:00,30.23,--,2026-09-25 09:26:15
香屯以上,江西,乐安河,香屯,2026-09-26 08:00:00,30.22,--,2026-09-26 09:25:48
