流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
黄河,山东,黄河,麻湾,2026-09-09 08:00:00,10.11,--,2026-09-09 09:27:56
黄河,山东,黄河,麻湾,2026-09-10 08:00:00,10.2,--,2026-09-10 09:26:23
黄河,山东,黄河,麻湾,2026-09-11 08:00:00,10.11,--,2026-09-11 09:26:07
黄河,山东,黄河,麻湾,2026-09-12 08:00:00,10.17,--,2026-09-12 09:24:56
黄河,山东,黄河,麻湾,2026-09-13 08:00:00,10.19,--,2026-09-13 09:26:03
黄河,山东,黄河,麻湾,2026-09-14 08:00:00,10.16,--,2026-09-14 09:27:14
黄河,山东,黄河,麻湾,2026-09-15 08:00:00,10.15,--,2026-09-15 09:29:45
黄河,山东,黄河,麻湾,2026-09-16 08:00:00,10.12,--,2026-09-16 09:26:25
黄河,山东,黄河,麻湾,2026-09-17 08:00:00,10.14,--,2026-09-17 09:27:07
黄河,山东,黄河,麻湾,2026-09-18 08:00:00,10.07,--,2026-09-18 09:25:44
黄河,山东,黄河,麻湾,2026-09-19 08:00:00,10.04,--,2026-09-19 09:26:16
黄河,山东,黄河,麻湾,2026-09-22 08:00:00,10.06,--,2026-09-22 09:26:19
黄河,山东,黄河,麻湾,2026-09-23 08:00:00,10.08,--,2026-09-23 09:26:47
