流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
黄河,陕西,北洛河,刘家河,2026-09-09 08:00:00,1116.48,--,2026-09-09 09:27:56
黄河,陕西,北洛河,刘家河,2026-09-10 08:00:00,1116.61,--,2026-09-10 09:26:23
黄河,陕西,北洛河,刘家河,2026-09-11 08:00:00,1116.38,--,2026-09-11 09:26:07
黄河,陕西,北洛河,刘家河,2026-09-12 08:00:00,1116.32,--,2026-09-12 09:24:56
黄河,陕西,北洛河,刘家河,2026-09-13 08:00:00,1116.28,--,2026-09-13 09:26:03
黄河,陕西,北洛河,刘家河,2026-09-14 08:00:00,1116.25,--,2026-09-14 09:27:14
黄河,陕西,北洛河,刘家河,2026-09-15 08:00:00,1116.23,--,2026-09-15 09:29:45
黄河,陕西,北洛河,刘家河,2026-09-16 08:00:00,1116.21,--,2026-09-16 09:26:25
黄河,陕西,北洛河,刘家河,2026-09-17 08:00:00,1116.31,--,2026-09-17 09:27:07
黄河,陕西,北洛河,刘家河,2026-09-18 08:00:00,1116.26,--,2026-09-18 09:25:44
