流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
黄河,陕西,灞河,罗李村,2026-09-09 08:00:00,519.83,--,2026-09-09 09:27:56
黄河,陕西,灞河,罗李村,2026-09-10 08:00:00,520.0,--,2026-09-10 09:26:23
黄河,陕西,灞河,罗李村,2026-09-11 08:00:00,519.85,--,2026-09-11 09:26:07
黄河,陕西,灞河,罗李村,2026-09-12 08:00:00,519.77,--,2026-09-12 09:24:56
黄河,陕西,灞河,罗李村,2026-09-13 08:00:00,519.69,--,2026-09-13 09:26:03
黄河,陕西,灞河,罗李村,2026-09-14 08:00:00,519.65,--,2026-09-14 09:27:14
黄河,陕西,灞河,罗李村,2026-09-15 08:00:00,519.62,--,2026-09-15 09:29:45
黄河,陕西,灞河,罗李村,2026-09-16 08:00:00,519.59,--,2026-09-16 09:26:25
黄河,陕西,灞河,罗李村,2026-09-17 08:00:00,519.58,--,2026-09-17 09:27:07
黄河,陕西,灞河,罗李村,2026-09-18 08:00:00,519.57,--,2026-09-18 09:25:44
黄河,陕西,灞河,罗李村,2026-09-19 08:00:00,519.57,--,2026-09-19 09:26:16
黄河,陕西,灞河,罗李村,2026-09-22 08:00:00,519.88,--,2026-09-22 09:26:19
黄河,陕西,灞河,罗李村,2026-09-23 08:00:00,519.78,--,2026-09-23 09:26:47
黄河,陕西,灞河,罗李村,2026-09-24 08:00:00,519.71,--,2026-09-24 09:26:28
黄河,陕西,灞河,罗李村,2026-09-25 08:00:00,519.7,--,2026-09-25 09:26:15
