流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
黑龙江,吉林,松花江,扶余,2026-09-09 08:00:00,129.13,--,2026-09-09 09:27:56
黑龙江,吉林,松花江,扶余,2026-09-10 08:00:00,129.0,--,2026-09-10 09:26:23
黑龙江,吉林,松花江,扶余,2026-09-11 08:00:00,128.95,--,2026-09-11 09:26:07
黑龙江,吉林,松花江,扶余,2026-09-12 08:00:00,129.24,--,2026-09-12 09:24:56
黑龙江,吉林,松花江,扶余,2026-09-13 08:00:00,128.72,--,2026-09-13 09:26:03
黑龙江,吉林,松花江,扶余,2026-09-14 08:00:00,128.99,--,2026-09-14 09:27:14
黑龙江,吉林,松花江,扶余,2026-09-15 08:00:00,129.2,--,2026-09-15 09:29:45
黑龙江,吉林,松花江,扶余,2026-09-16 08:00:00,129.16,--,2026-09-16 09:26:25
黑龙江,吉林,松花江,扶余,2026-09-17 08:00:00,129.39,--,2026-09-17 09:27:07
黑龙江,吉林,松花江,扶余,2026-09-18 08:00:00,129.01,--,2026-09-18 09:25:44
黑龙江,吉林,松花江,扶余,2026-09-19 08:00:00,129.21,--,2026-09-19 09:26:16
黑龙江,吉林,松花江,扶余,2026-09-21 08:00:00,129.81,--,2026-09-22 09:26:19
黑龙江,吉林,松花江,扶余,2026-09-23 08:00:00,129.81,--,2026-09-23 09:26:47
黑龙江,吉林,松花江,扶余,2026-09-24 08:00:00,130.12,--,2026-09-24 09:26:28
