站名,时间,水位(m),流量(m3/s)
武隆,2026-09-08 20:00:00,171.330,1080
武隆,2026-09-08 21:00:00,171.700,1200
武隆,2026-09-08 22:00:00,172.390,1420
武隆,2026-09-08 23:00:00,172.900,1580
武隆,2026-09-09 00:00:00,172.660,1500
武隆,2026-09-09 01:00:00,172.200,1360
武隆,2026-09-09 14:00:00,169.090,423
武隆,2026-09-09 15:00:00,169.160,436
武隆,2026-09-09 16:00:00,169.300,469
武隆,2026-09-09 17:00:00,169.370,488
武隆,2026-09-09 18:00:00,169.550,538
武隆,2026-09-09 19:00:00,169.690,578
武隆,2026-09-09 20:00:00,170.210,732
武隆,2026-09-09 21:00:00,170.620,860
武隆,2026-09-09 22:00:00,170.410,795
武隆,2026-09-10 06:00:00,170.620,860
武隆,2026-09-10 07:00:00,170.040,681
武隆,2026-09-10 08:00:00,169.680,575
武隆,2026-09-10 09:00:00,169.460,513
武隆,2026-09-10 10:00:00,169.220,449
武隆,2026-09-10 11:00:00,169.070,419
武隆,2026-09-10 12:00:00,169.100,425
武隆,2026-09-10 13:00:00,169.270,461
武隆,2026-09-10 14:00:00,169.200,445
武隆,2026-09-10 15:00:00,169.120,428
武隆,2026-09-10 16:00:00,169.040,416
武隆,2026-09-10 17:00:00,169.010,413
武隆,2026-09-10 18:00:00,169.050,417
武隆,2026-09-10 19:00:00,169.020,414
武隆,2026-09-10 20:00:00,169.040,416
武隆,2026-09-10 21:00:00,169.130,430
武隆,2026-09-10 22:00:00,169.220,449
武隆,2026-09-11 06:00:00,169.770,601
武隆,2026-09-11 07:00:00,169.620,558
武隆,2026-09-11 08:00:00,169.530,532
武隆,2026-09-11 09:00:00,169.720,587
武隆,2026-09-11 10:00:00,169.810,613
武隆,2026-09-11 11:00:00,169.610,555
武隆,2026-09-11 12:00:00,169.470,515
武隆,2026-09-11 13:00:00,169.460,513
武隆,2026-09-11 14:00:00,169.390,494
武隆,2026-09-11 15:00:00,169.310,472
武隆,2026-09-11 16:00:00,169.350,483
武隆,2026-09-11 17:00:00,169.440,507
武隆,2026-09-11 18:00:00,169.510,527
武隆,2026-09-11 19:00:00,169.490,521
武隆,2026-09-11 20:00:00,169.340,480
武隆,2026-09-11 21:00:00,169.290,466
武隆,2026-09-11 22:00:00,169.250,457
武隆,2026-09-12 06:00:00,169.560,541
武隆,2026-09-12 07:00:00,169.290,466
武隆,2026-09-12 08:00:00,169.320,475
武隆,2026-09-12 09:00:00,169.910,642
武隆,2026-09-12 10:00:00,170.010,672
武隆,2026-09-12 11:00:00,169.650,566
武隆,2026-09-12 12:00:00,169.330,477
武隆,2026-09-12 13:00:00,169.170,438
武隆,2026-09-12 14:00:00,169.090,423
武隆,2026-09-12 15:00:00,169.170,438
武隆,2026-09-12 16:00:00,169.260,459
武隆,2026-09-12 17:00:00,169.220,449
武隆,2026-09-12 18:00:00,169.170,438
武隆,2026-09-12 19:00:00,169.170,438
武隆,2026-09-12 20:00:00,169.220,449
武隆,2026-09-12 21:00:00,169.370,488
武隆,2026-09-12 22:00:00,169.330,477
武隆,2026-09-13 06:00:00,169.570,544
武隆,2026-09-13 07:00:00,169.290,466
武隆,2026-09-13 08:00:00,169.370,488
武隆,2026-09-13 09:00:00,169.660,569
武隆,2026-09-13 10:00:00,169.490,521
武隆,2026-09-13 11:00:00,169.270,461
武隆,2026-09-13 12:00:00,169.160,436
武隆,2026-09-13 13:00:00,169.140,432
武隆,2026-09-13 14:00:00,169.130,430
武隆,2026-09-13 15:00:00,169.200,445
武隆,2026-09-13 16:00:00,169.240,454
武隆,2026-09-13 17:00:00,169.180,441
武隆,2026-09-13 18:00:00,169.100,425
武隆,2026-09-13 19:00:00,169.060,418
武隆,2026-09-13 20:00:00,169.210,447
武隆,2026-09-13 21:00:00,169.440,507
武隆,2026-09-13 22:00:00,169.570,544
武隆,2026-09-14 06:00:00,169.180,441
武隆,2026-09-14 07:00:00,169.120,428
武隆,2026-09-14 08:00:00,169.180,441
武隆,2026-09-14 09:00:00,169.750,595
武隆,2026-09-14 10:00:00,170.450,807
武隆,2026-09-14 11:00:00,170.530,832
武隆,2026-09-14 12:00:00,170.500,823
武隆,2026-09-14 13:00:00,170.270,751
武隆,2026-09-14 14:00:00,169.870,631
武隆,2026-09-14 15:00:00,169.640,564
武隆,2026-09-14 16:00:00,169.510,527
武隆,2026-09-14 17:00:00,169.450,510
武隆,2026-09-14 18:00:00,169.400,496
武隆,2026-09-14 19:00:00,169.380,491
武隆,2026-09-14 20:00:00,169.460,513
武隆,2026-09-14 21:00:00,169.740,592
武隆,2026-09-14 22:00:00,169.790,607
武隆,2026-09-15 06:00:00,170.860,935
武隆,2026-09-15 07:00:00,170.920,954
武隆,2026-09-15 08:00:00,171.950,1280
武隆,2026-09-15 09:00:00,172.950,1590
武隆,2026-09-15 10:00:00,172.870,1570
武隆,2026-09-15 11:00:00,172.470,1440
武隆,2026-09-15 12:00:00,172.210,1360
武隆,2026-09-15 13:00:00,172.190,1350
武隆,2026-09-15 14:00:00,171.990,1290
武隆,2026-09-15 15:00:00,171.480,1130
武隆,2026-09-15 16:00:00,171.480,1130
武隆,2026-09-15 17:00:00,172.130,1330
武隆,2026-09-15 18:00:00,172.320,1390
武隆,2026-09-15 19:00:00,171.870,1250
武隆,2026-09-15 20:00:00,171.130,1020
武隆,2026-09-15 21:00:00,170.400,792
武隆,2026-09-15 22:00:00,169.860,628
武隆,2026-09-16 06:00:00,171.980,1290
武隆,2026-09-16 07:00:00,171.830,1240
武隆,2026-09-16 08:00:00,172.360,1410
武隆,2026-09-16 09:00:00,172.730,1520
武隆,2026-09-16 10:00:00,172.920,1580
武隆,2026-09-16 11:00:00,172.610,1490
武隆,2026-09-16 12:00:00,172.440,1430
武隆,2026-09-16 13:00:00,172.880,1570
武隆,2026-09-16 14:00:00,173.330,1720
武隆,2026-09-16 15:00:00,173.620,1810
武隆,2026-09-16 16:00:00,173.760,1860
武隆,2026-09-16 17:00:00,173.870,1900
武隆,2026-09-16 18:00:00,173.810,1880
武隆,2026-09-16 19:00:00,173.210,1680
武隆,2026-09-16 20:00:00,172.580,1480
武隆,2026-09-16 21:00:00,171.920,1270
武隆,2026-09-16 22:00:00,171.220,1050
武隆,2026-09-17 06:00:00,173.000,1610
武隆,2026-09-17 07:00:00,173.120,1650
武隆,2026-09-17 08:00:00,173.710,1840
武隆,2026-09-17 09:00:00,174.420,2080
武隆,2026-09-17 10:00:00,174.940,2260
武隆,2026-09-17 11:00:00,175.080,2310
武隆,2026-09-17 12:00:00,175.180,2340
武隆,2026-09-17 13:00:00,174.650,2160
武隆,2026-09-17 14:00:00,174.010,1940
武隆,2026-09-17 15:00:00,173.670,1830
武隆,2026-09-17 16:00:00,173.400,1740
武隆,2026-09-17 17:00:00,173.410,1740
武隆,2026-09-17 18:00:00,173.480,1770
武隆,2026-09-17 19:00:00,174.020,1950
武隆,2026-09-17 21:00:00,174.070,1960
武隆,2026-09-17 22:00:00,173.190,1670
武隆,2026-09-18 06:00:00,173.660,1830
武隆,2026-09-18 07:00:00,173.620,1810
武隆,2026-09-18 08:00:00,173.860,1890
武隆,2026-09-18 09:00:00,174.620,2150
武隆,2026-09-18 10:00:00,174.870,2230
武隆,2026-09-18 11:00:00,174.840,2220
武隆,2026-09-18 12:00:00,174.820,2220
武隆,2026-09-18 13:00:00,174.800,2210
武隆,2026-09-18 14:00:00,174.930,2260
武隆,2026-09-18 15:00:00,175.040,2290
武隆,2026-09-18 16:00:00,174.790,2210
武隆,2026-09-18 17:00:00,174.490,2100
武隆,2026-09-18 18:00:00,174.190,2000
武隆,2026-09-18 19:00:00,173.590,1800
武隆,2026-09-18 20:00:00,172.870,1570
武隆,2026-09-18 21:00:00,172.370,1410
武隆,2026-09-18 22:00:00,171.690,1200
武隆,2026-09-19 06:00:00,171.930,1270
武隆,2026-09-19 07:00:00,171.540,1150
武隆,2026-09-19 08:00:00,171.740,1210
武隆,2026-09-19 09:00:00,172.100,1320
武隆,2026-09-19 10:00:00,172.310,1390
武隆,2026-09-19 11:00:00,172.210,1360
武隆,2026-09-19 12:00:00,171.990,1290
武隆,2026-09-19 13:00:00,171.510,1140
武隆,2026-09-19 14:00:00,170.800,916
武隆,2026-09-19 15:00:00,170.160,717
武隆,2026-09-19 16:00:00,169.770,601
武隆,2026-09-19 17:00:00,169.570,544
武隆,2026-09-19 18:00:00,169.520,529
武隆,2026-09-19 19:00:00,169.510,527
武隆,2026-09-19 20:00:00,169.440,507
