站名,时间,水位(m),流量(m3/s)
茅坪(二),2026-09-08 20:00:00,158.900,-
茅坪(二),2026-09-08 21:00:00,158.910,-
茅坪(二),2026-09-08 22:00:00,158.890,-
茅坪(二),2026-09-08 23:00:00,158.920,-
茅坪(二),2026-09-09 00:00:00,159.040,-
茅坪(二),2026-09-09 01:00:00,159.090,-
茅坪(二),2026-09-09 14:00:00,159.220,-
茅坪(二),2026-09-09 15:00:00,159.220,-
茅坪(二),2026-09-09 16:00:00,159.220,-
茅坪(二),2026-09-09 17:00:00,159.220,-
茅坪(二),2026-09-09 18:00:00,159.030,-
茅坪(二),2026-09-09 19:00:00,158.980,-
茅坪(二),2026-09-09 20:00:00,158.940,-
茅坪(二),2026-09-09 21:00:00,158.950,-
茅坪(二),2026-09-09 22:00:00,158.930,-
茅坪(二),2026-09-10 05:00:00,159.210,-
茅坪(二),2026-09-10 06:00:00,159.190,-
茅坪(二),2026-09-10 07:00:00,159.210,-
茅坪(二),2026-09-10 08:00:00,159.210,-
茅坪(二),2026-09-10 09:00:00,159.210,-
茅坪(二),2026-09-10 10:00:00,159.240,-
茅坪(二),2026-09-10 11:00:00,159.250,-
茅坪(二),2026-09-10 12:00:00,159.270,-
茅坪(二),2026-09-10 13:00:00,159.260,-
茅坪(二),2026-09-10 14:00:00,159.290,-
茅坪(二),2026-09-10 15:00:00,159.310,-
茅坪(二),2026-09-10 16:00:00,159.310,-
茅坪(二),2026-09-10 17:00:00,159.260,-
茅坪(二),2026-09-10 18:00:00,159.170,-
茅坪(二),2026-09-10 19:00:00,159.120,-
茅坪(二),2026-09-10 20:00:00,159.080,-
茅坪(二),2026-09-10 21:00:00,159.090,-
茅坪(二),2026-09-10 22:00:00,159.080,-
茅坪(二),2026-09-11 05:00:00,159.380,-
茅坪(二),2026-09-11 06:00:00,159.390,-
茅坪(二),2026-09-11 07:00:00,159.390,-
茅坪(二),2026-09-11 08:00:00,159.380,-
茅坪(二),2026-09-11 09:00:00,159.390,-
茅坪(二),2026-09-11 10:00:00,159.410,-
茅坪(二),2026-09-11 11:00:00,159.410,-
茅坪(二),2026-09-11 12:00:00,159.440,-
茅坪(二),2026-09-11 13:00:00,159.420,-
茅坪(二),2026-09-11 14:00:00,159.450,-
茅坪(二),2026-09-11 15:00:00,159.460,-
茅坪(二),2026-09-11 16:00:00,159.460,-
茅坪(二),2026-09-11 17:00:00,159.400,-
茅坪(二),2026-09-11 18:00:00,159.310,-
茅坪(二),2026-09-11 19:00:00,159.290,-
茅坪(二),2026-09-11 20:00:00,159.250,-
茅坪(二),2026-09-11 21:00:00,159.270,-
茅坪(二),2026-09-11 22:00:00,159.260,-
茅坪(二),2026-09-12 05:00:00,159.570,-
茅坪(二),2026-09-12 06:00:00,159.570,-
茅坪(二),2026-09-12 07:00:00,159.570,-
茅坪(二),2026-09-12 08:00:00,159.550,-
茅坪(二),2026-09-12 09:00:00,159.580,-
茅坪(二),2026-09-12 10:00:00,159.620,-
茅坪(二),2026-09-12 11:00:00,159.660,-
茅坪(二),2026-09-12 12:00:00,159.700,-
茅坪(二),2026-09-12 13:00:00,159.740,-
茅坪(二),2026-09-12 14:00:00,159.740,-
茅坪(二),2026-09-12 15:00:00,159.810,-
茅坪(二),2026-09-12 16:00:00,159.840,-
茅坪(二),2026-09-12 17:00:00,159.810,-
